Frame,Timestamp,ID_Salmon,Largo_cm,Ancho_cm,Peso_Estimado_g,Confianza_Deteccion
12,23:01:20,3,122.2,71.73,23719.93,53.22
15,23:01:21,3,113.18,25.49,18845.78,64.15
15,23:01:21,6,121.9,29.92,23550.77,64.41
16,23:01:21,3,111.59,0.0,18063.35,54.99
16,23:01:21,6,126.48,0.0,26301.43,56.64
17,23:01:22,3,67.29,28.81,3961.74,61.01
17,23:01:22,7,127.83,20.37,27151.41,32.75
17,23:01:22,6,67.29,28.81,3961.74,54.31
18,23:01:22,6,124.75,22.26,25240.13,26.19
19,23:01:23,3,119.22,0.0,22031.22,50.22
19,23:01:23,6,122.16,23.45,23697.06,35.28
19,23:01:23,7,120.26,34.62,22608.38,49.81
20,23:01:23,3,111.78,16.59,18155.05,64.05
20,23:01:23,7,115.85,21.99,20214.84,63.32
21,23:01:24,3,105.41,22.29,15225.85,62.86
21,23:01:24,6,83.93,17.07,7686.45,27.31
22,23:01:24,3,106.09,20.76,15522.42,63.63
22,23:01:24,7,115.72,38.94,20144.88,57.45
22,23:01:24,6,79.64,17.3,6566.58,52.77
23,23:01:24,3,97.49,25.41,12045.47,73.81
24,23:01:25,3,99.85,26.21,12940.15,74.75
25,23:01:25,3,15.33,26.02,46.81,73.17
25,23:01:25,6,71.51,17.98,4753.44,28.78
26,23:01:26,3,106.82,0.0,15847.53,71.6
26,23:01:26,6,115.39,0.0,19971.02,59.38
28,23:01:27,6,115.97,0.0,20273.42,38.86
29,23:01:27,3,114.01,71.08,19267.62,55.46
29,23:01:27,6,117.61,75.66,21148.58,51.43
30,23:01:28,3,31.1,63.11,390.91,66.99
30,23:01:28,6,117.83,77.7,21267.91,39.6
31,23:01:28,6,119.28,81.62,22061.96,48.11
32,23:01:28,3,116.83,69.07,20731.73,49.6
32,23:01:28,6,113.25,77.64,18884.36,34.46
33,23:01:29,3,76.51,82.74,5821.68,52.06
33,23:01:29,6,76.51,82.74,5821.68,42.63
34,23:01:29,3,69.84,89.58,4429.08,52.16
34,23:01:29,6,69.84,89.58,4429.08,32.96
36,23:01:30,3,109.88,90.08,17245.09,51.33
36,23:01:30,6,115.78,94.19,20178.74,58.48
37,23:01:31,3,107.28,91.98,16050.53,61.09
37,23:01:31,6,111.06,96.12,17807.16,53.5
39,23:01:32,3,21.82,80.82,135.12,26.38
39,23:01:32,7,59.14,93.62,2688.7,67.12
40,23:01:32,7,98.02,88.98,12242.19,62.64
40,23:01:32,6,101.89,89.77,13749.41,68.86
41,23:01:33,3,23.61,0.0,171.11,25.49
41,23:01:33,7,100.93,87.56,13367.73,70.9
41,23:01:33,6,100.93,87.56,13367.73,69.15
42,23:01:33,7,62.85,89.7,3226.79,76.56
42,23:01:33,6,62.85,89.7,3226.79,69.15
43,23:01:34,6,53.92,87.87,2037.43,59.1
46,23:01:35,7,84.29,82.04,7786.39,64.7
47,23:01:35,7,94.25,77.01,10884.01,59.1
47,23:01:35,6,97.28,85.15,11967.59,64.32
48,23:01:36,7,77.11,0.0,5961.37,56.78
48,23:01:36,6,85.68,85.57,8177.84,69.33
49,23:01:36,6,61.7,87.3,3053.5,70.76
50,23:01:37,6,59.12,39.26,2686.36,58.91
51,23:01:37,6,53.77,80.78,2021.2,40.47
52,23:01:38,6,47.49,13.41,1392.37,30.55
55,23:01:39,6,69.93,20.74,4446.33,45.99
57,23:01:40,6,68.88,22.88,4248.43,44.36
59,23:01:41,3,82.92,26.42,7411.18,28.67
59,23:01:41,7,87.36,29.34,8666.1,32.66
63,23:01:43,15,55.09,18.22,2173.52,25.98
66,23:01:44,7,87.05,0.0,8574.42,41.35
71,23:01:46,15,60.52,0.0,2881.98,31.67
72,23:01:47,15,98.25,18.63,12328.5,48.59
75,23:01:48,7,59.43,19.94,2728.56,31.31
75,23:01:48,6,53.56,0.0,1996.99,45.63
76,23:01:48,6,54.09,20.33,2056.83,35.46
77,23:01:49,15,81.42,22.12,7015.68,34.81
79,23:01:50,6,78.37,0.0,6257.7,53.59
80,23:01:50,6,74.33,19.41,5338.64,49.17
81,23:01:51,15,129.34,69.99,28125.27,46.78
81,23:01:51,3,117.65,75.19,21172.38,33.25
82,23:01:51,15,112.53,73.5,18526.3,61.87
82,23:01:51,6,69.31,0.0,4327.73,39.22
82,23:01:51,3,105.37,0.0,15206.7,37.38
83,23:01:52,18,54.05,11.76,2052.68,42.82
84,23:01:52,6,60.09,16.21,2820.69,49.46
85,23:01:52,15,100.81,72.01,13318.01,62.67
85,23:01:52,6,64.42,18.09,3474.77,37.97
85,23:01:52,18,47.8,0.0,1419.74,44.83
86,23:01:53,15,93.49,66.63,10621.35,40.22
86,23:01:53,6,65.78,19.66,3699.66,34.19
86,23:01:53,18,51.99,18.55,1827.36,46.88
86,23:01:53,3,93.49,66.63,10621.35,62.62
87,23:01:53,18,61.18,42.33,2977.08,60.63
88,23:01:54,18,57.42,52.9,2460.77,27.87
88,23:01:54,6,25.24,14.24,208.95,39.06
89,23:01:54,15,105.77,0.0,15381.78,54.25
89,23:01:54,18,49.23,45.0,1550.94,61.52
89,23:01:54,3,105.77,0.0,15381.78,62.62
92,23:01:56,18,49.17,40.87,1545.8,57.77
92,23:01:56,6,71.9,34.71,4831.87,25.34
93,23:01:56,18,53.46,38.66,1985.98,57.77
93,23:01:56,6,53.46,38.66,1985.98,27.27
94,23:01:57,18,49.38,9.58,1565.17,57.77
94,23:01:57,6,49.38,9.58,1565.17,34.63
95,23:01:57,18,59.64,10.61,2758.33,57.77
