ID_Salmon,Largo_Prom_cm,Ancho_Prom_cm,Peso_Prom_g,Confianza_Prom,Total_Frames
3,98.66999999999999,27.615000000000002,12492.81,53.05921052631579,38
6,69.93,22.26,4446.33,45.54274509803921,51
7,87.205,25.225,8620.26,46.1828125,64
15,75.75,28.17,5655.645,48.770199999999996,50
18,56.25,17.335,2316.325,40.829,30
21,70.9,21.0,4633.51,41.81829268292683,41
24,68.9,19.990000000000002,4251.975,41.6625,64
26,66.46,17.4,3816.85,46.62512195121951,41
53,93.42,11.45,10618.220000000001,42.49029411764706,34
55,61.52,21.41,3026.96,51.50953846153846,65
73,59.56,17.52,2746.6499999999996,58.19866666666667,30
78,75.06,17.14,5498.54,44.00387096774193,31
87,66.1,21.53,3754.9049999999997,55.29555555555556,36
